last_name,first_name,gender,type,state,party
Brown,Sherrod,M,Senate,OH,Democrat
Cantwell,Maria,F,Senate,WA,Democrat
Cardin,Benjamin,M,Senate,MD,Democrat
Carper,Thomas,M,Senate,DE,Democrat
Casey,Robert,M,Senate,PA,Democrat
Feinstein,Dianne,F,Senate,CA,Democrat
Klobuchar,Amy,F,Senate,MN,Democrat
Menendez,Robert,M,Senate,NJ,Democrat
Sanders,Bernard,M,Senate,VT,Independent
Stabenow,Debbie,F,Senate,MI,Democrat
Tester,Jon,M,Senate,MT,Democrat
Whitehouse,Sheldon,M,Senate,RI,Democrat
Barrasso,John,M,Senate,WY,Republican
Wicker,Roger,M,Senate,MS,Republican
Alexander,Lamar,M,Senate,TN,Republican
Collins,Susan,F,Senate,ME,Republican
Cornyn,John,M,Senate,TX,Republican
Durbin,Richard,M,Senate,IL,Democrat
Enzi,Michael,M,Senate,WY,Republican
Graham,Lindsey,M,Senate,SC,Republican
Inhofe,James,M,Senate,OK,Republican
McConnell,Mitch,M,Senate,KY,Republican
Merkley,Jeff,M,Senate,OR,Democrat
Reed,John,M,Senate,RI,Democrat
Risch,James,M,Senate,ID,Republican
Roberts,Pat,M,Senate,KS,Republican
Shaheen,Jeanne,F,Senate,NH,Democrat
Udall,Tom,M,Senate,NM,Democrat
Warner,Mark,M,Senate,VA,Democrat
Gillibrand,Kirsten,F,Senate,NY,Democrat
Coons,Chris,M,Senate,DE,Democrat
Manchin,Joe,M,Senate,WV,Democrat
Aderholt,Robert,M,House,AL,Republican
Amash,Justin,M,House,MI,Independent
Baldwin,Tammy,F,Senate,WI,Democrat
Bass,Karen,F,House,CA,Democrat
Bennet,Michael,M,Senate,CO,Democrat
Bilirakis,Gus,M,House,FL,Republican
Bishop,Rob,M,House,UT,Republican
Bishop,Sanford,M,House,GA,Democrat
Blackburn,Marsha,F,Senate,TN,Republican
Blumenauer,Earl,M,House,OR,Democrat
Blumenthal,Richard,M,Senate,CT,Democrat
Blunt,Roy,M,Senate,MO,Republican
Boozman,John,M,Senate,AR,Republican
Brady,Kevin,M,House,TX,Republican
Brooks,Mo,M,House,AL,Republican
Buchanan,Vern,M,House,FL,Republican
Bucshon,Larry,M,House,IN,Republican
Burgess,Michael,M,House,TX,Republican
Burr,Richard,M,Senate,NC,Republican
Butterfield,George,M,House,NC,Democrat
Calvert,Ken,M,House,CA,Republican
Capito,Shelley,F,Senate,WV,Republican
Carson,André,M,House,IN,Democrat
Carter,John,M,House,TX,Republican
Cassidy,Bill,M,Senate,LA,Republican
Castor,Kathy,F,House,FL,Democrat
Chabot,Steve,M,House,OH,Republican
Chu,Judy,F,House,CA,Democrat
Cicilline,David,M,House,RI,Democrat
