last_name,first_name,type,state,party
Brown,Sherrod,sen,OH,Democrat
Cantwell,Maria,sen,WA,Democrat
Cardin,Benjamin,sen,MD,Democrat
Carper,Thomas,sen,DE,Democrat
Casey,Robert,sen,PA,Democrat
Feinstein,Dianne,sen,CA,Democrat
Klobuchar,Amy,sen,MN,Democrat
Menendez,Robert,sen,NJ,Democrat
Sanders,Bernard,sen,VT,Independent
Stabenow,Debbie,sen,MI,Democrat
Tester,Jon,sen,MT,Democrat
Whitehouse,Sheldon,sen,RI,Democrat
Barrasso,John,sen,WY,Republican
Wicker,Roger,sen,MS,Republican
Alexander,Lamar,sen,TN,Republican
Collins,Susan,sen,ME,Republican
Cornyn,John,sen,TX,Republican
Durbin,Richard,sen,IL,Democrat
Enzi,Michael,sen,WY,Republican
Graham,Lindsey,sen,SC,Republican
Inhofe,James,sen,OK,Republican
McConnell,Mitch,sen,KY,Republican
Merkley,Jeff,sen,OR,Democrat
Reed,John,sen,RI,Democrat
Risch,James,sen,ID,Republican
Roberts,Pat,sen,KS,Republican
Shaheen,Jeanne,sen,NH,Democrat
Udall,Tom,sen,NM,Democrat
Warner,Mark,sen,VA,Democrat
Gillibrand,Kirsten,sen,NY,Democrat
Coons,Chris,sen,DE,Democrat
Manchin,Joe,sen,WV,Democrat
Aderholt,Robert,rep,AL,Republican
Amash,Justin,rep,MI,Independent
Baldwin,Tammy,sen,WI,Democrat
Bass,Karen,rep,CA,Democrat
Bennet,Michael,sen,CO,Democrat
Bilirakis,Gus,rep,FL,Republican
Bishop,Rob,rep,UT,Republican
Bishop,Sanford,rep,GA,Democrat
Blackburn,Marsha,sen,TN,Republican
Blumenauer,Earl,rep,OR,Democrat
Blumenthal,Richard,sen,CT,Democrat
Blunt,Roy,sen,MO,Republican
Boozman,John,sen,AR,Republican
Brady,Kevin,rep,TX,Republican
Brooks,Mo,rep,AL,Republican
Buchanan,Vern,rep,FL,Republican
Bucshon,Larry,rep,IN,Republican
Burgess,Michael,rep,TX,Republican
Burr,Richard,sen,NC,Republican
Butterfield,George,rep,NC,Democrat
Calvert,Ken,rep,CA,Republican
Capito,Shelley,sen,WV,Republican
Carson,André,rep,IN,Democrat
Carter,John,rep,TX,Republican
Cassidy,Bill,sen,LA,Republican
Castor,Kathy,rep,FL,Democrat
Chabot,Steve,rep,OH,Republican
Chu,Judy,rep,CA,Democrat
Cicilline,David,rep,RI,Democrat
Clarke,Yvette,rep,NY,Democrat
Clay,Wm.,rep,MO,Democrat
Cleaver,Emanuel,rep,MO,Democrat
Clyburn,James,rep,SC,Democrat
Cohen,Steve,rep,TN,Democrat
Cole,Tom,rep,OK,Republican
Conaway,K.,rep,TX,Republican
Connolly,Gerald,rep,VA,Democrat
Cooper,Jim,rep,TN,Democrat
